38  1493718058000821  (-10.1376,-30,0 - 100)  (-10.1376,30,0 - 100)   (5.0913,30,0 - 100) (5.0913,-30,0 - 100) 
39  1493718058000920  (-10.1093,-30,0 - 100)  (-10.1093,30,0 - 100)   (5.0913,30,0 - 100) (5.0913,-30,0 - 100) 
40  1493718059000020  (-10.1564,-30,0 - 100)  (-10.1564,30,0 - 100)   (5.0913,30,0 - 100) (5.0913,-30,0 - 100) 
41  1493718059000121  (-10.1564,-30,0 - 100)  (-10.1564,30,0 - 100)   (5.0913,30,0 - 100) (5.0913,-30,0 - 100) 
42  1493718059000220  (-10.1564,-30,0 - 100)  (-10.1564,30,0 - 100)   (5.0913,30,0 - 100) (5.0913,-30,0 - 100) 
43  1493718059000321  (-10.1564,-30,0 - 100)  (-10.1564,30,0 - 100)   (5.0913,30,0 - 100) (5.0913,-30,0 - 100) 
44  1493718059000420  (-10.1596,-30,0 - 100)  (-10.1596,30,0 - 100)   (8.20902,30,0 - 100) (8.20902,-30,0 - 100) 
45  1493718059000520  (-11.4687,-30,0 - 100)  (-11.4687,30,0 - 100)   (8.20902,30,0 - 100) (8.20902,-30,0 - 100) 
46  1493718059000621  (-11.4687,-30,0 - 100)  (-11.4687,30,0 - 100)   (8.20902,30,0 - 100) (8.20902,-30,0 - 100) 
47  1493718059000720  (-11.4687,-30,0 - 100)  (-11.4687,30,0 - 100)   (8.20902,30,0 - 100) (8.20902,-30,0 - 100) 
48  1493718059000820  (-11.4687,-30,0 - 100)  (-11.4687,30,0 - 100)   (8.20902,30,0 - 100) (8.20902,-30,0 - 100) 
49  1493718059000921  (-11.4687,-30,0 - 100)  (-11.4687,30,0 - 100)   (8.20902,30,0 - 100) (8.20902,-30,0 - 100) 
50  1493718060000020  (-11.4687,-30,0 - 100)  (-11.4687,30,0 - 100)   (8.20902,30,0 - 100) (8.20902,-30,0 - 100) 
51  1493718060000120  (-11.4687,-30,0 - 100)  (-11.4687,30,0 - 100)   (8.20902,30,0 - 100) (8.20902,-30,0 - 100) 
52  1493718060000221  (-11.4687,-30,0 - 100)  (-11.4687,30,0 - 100)   (8.20902,30,0 - 100) (8.20902,-30,0 - 100) 
53  1493718060000320  (-11.4687,-30,0 - 100)  (-11.4687,30,0 - 100)   (5.01442,30,0 - 100) (5.01442,-30,0 - 100) 
54  1493718060000420  (-10.8345,-30,0 - 100)  (-10.8345,30,0 - 100)   (5.01442,30,0 - 100) (5.01442,-30,0 - 100) 
55  1493718060000521  (-10.8345,-30,0 - 100)  (-10.8345,30,0 - 100)   (5.01442,30,0 - 100) (5.01442,-30,0 - 100) 
56  1493718060000620  (-10.8345,-30,0 - 100)  (-10.8345,30,0 - 100)   (5.01442,30,0 - 100) (5.01442,-30,0 - 100) 
57  1493718060000720  (-10.8345,-30,0 - 100)  (-10.8345,30,0 - 100)   (5.01442,30,0 - 100) (5.01442,-30,0 - 100) 
58  1493718060000821  (-10.8345,-30,0 - 100)  (-10.8345,30,0 - 100)   (5.01442,30,0 - 100) (5.01442,-30,0 - 100) 
59  1493718060000920  (-10.1525,-30,0 - 100)  (-10.1525,30,0 - 100)   (5.01442,30,0 - 100) (5.01442,-30,0 - 100) 
60  1493718061000021  (-10.1525,-30,0 - 100)  (-10.1525,30,0 - 100)   (5.01442,30,0 - 100) (5.01442,-30,0 - 100) 
61  1493718061000121  (-10.1525,-30,0 - 100)  (-10.1525,30,0 - 100)   (5.01442,30,0 - 100) (5.01442,-30,0 - 100) 
62  1493718061000220  (-10.1486,-30,0 - 100)  (-10.1486,30,0 - 100)   (5.01442,30,0 - 100) (5.01442,-30,0 - 100) 
63  1493718061000321  (-10.1486,-30,0 - 100)  (-10.1486,30,0 - 100)   (5.01442,30,0 - 100) (5.01442,-30,0 - 100) 
64  1493718061000420  (-10.1486,-30,0 - 100)  (-10.1486,30,0 - 100)   (5.06524,30,0 - 100) (5.06524,-30,0 - 100) 
65  1493718061000521  (-11.4799,-30,0 - 100)  (-11.4799,30,0 - 100)   (5.06524,30,0 - 100) (5.06524,-30,0 - 100) 
66  1493718061000621  (-11.583,-30,0 - 100)  (-11.583,30,0 - 100)   (5.10631,30,0 - 100) (5.10631,-30,0 - 100) 
67  1493718061000720  (-11.5848,-30,0 - 100)  (-11.5848,30,0 - 100)   (5.12616,30,0 - 100) (5.12616,-30,0 - 100) 
68  1493718061000821  (-11.5848,-30,0 - 100)  (-11.5848,30,0 - 100)   (5.12616,30,0 - 100) (5.12616,-30,0 - 100) 
69  1493718061000921  (-11.5848,-30,0 - 100)  (-11.5848,30,0 - 100)   (5.12616,30,0 - 100) (5.12616,-30,0 - 100) 
70  1493718062000020  (-11.5848,-30,0 - 100)  (-11.5848,30,0 - 100)   (5.12616,30,0 - 100) (5.12616,-30,0 - 100) 
71  1493718062000121  (-11.5848,-30,0 - 100)  (-11.5848,30,0 - 100)   (5.12616,30,0 - 100) (5.12616,-30,0 - 100) 
72  1493718062000221  (-11.5848,-30,0 - 100)  (-11.5848,30,0 - 100)   (8.21164,30,0 - 100) (8.21164,-30,0 - 100) 
73  1493718062000320  (-11.5848,-30,0 - 100)  (-11.5848,30,0 - 100)   (8.21164,30,0 - 100) (8.21164,-30,0 - 100) 
74  1493718062000421  (-11.5848,-30,0 - 100)  (-11.5848,30,0 - 100)   (8.21164,30,0 - 100) (8.21164,-30,0 - 100) 
